Date,Temp,UrchinMass,Background,Total,Urchin_Resp_Slope,O2_Cons (check volume),O2_Mass,O2_Temp,C_Resp_Mass
9/4/11,31,202.29,0.22,0.92,0.7,2.03,0.01,0.065,0.008
9/6/11,26,180.77,0.25,0.72,0.47,1.36,0.008,0.052,0.005
9/6/11,20,184.17,0.39,0.68,0.29,0.84,0.005,0.042,0.003
9/6/11,23,114.27,0.14,0.62,0.48,1.39,0.012,0.061,0.006
9/6/11,26,140.3,0.37,0.71,0.34,0.99,0.007,0.038,0.004
9/6/11,29,197.54,0.3,1.09,0.79,2.29,0.012,0.079,0.009
9/9/11,20,108.74,0.18,0.6,0.42,1.22,0.011,0.061,0.005
9/9/11,23,214,0.24,0.79,0.55,1.6,0.007,0.069,0.006
9/9/11,26,204.45,0.3,0.85,0.55,1.6,0.008,0.061,0.006
9/9/11,29,73.91,0.36,0.75,0.39,1.13,0.015,0.039,0.005
9/9/11,31,197.71,0.41,1.5,1.09,3.16,0.016,0.102,0.013
9/11/11,20,175.12,0.25,0.7,0.45,1.31,0.007,0.065,0.005
9/11/11,23,185.59,0.17,0.83,0.66,1.91,0.01,0.083,0.008
9/11/11,29,158.95,0.6,1.18,0.58,1.68,0.011,0.058,0.007
9/11/11,31,201.01,0.36,1.26,0.9,2.61,0.013,0.084,0.01
9/27/11,26,155.19,0.36,0.8,0.44,1.28,0.008,0.049,0.005
9/28/11,26,176.15,0.31,0.85,0.54,1.57,0.009,0.06,0.006
10/4/11,20,119.12,0.312,0.71,0.4,1.15,0.01,0.058,0.005
10/4/11,23,174.91,0.312,0.83,0.52,1.5,0.009,0.065,0.006
10/4/11,29,39.81,0.43,0.79,0.36,1.04,0.026,0.036,0.004
10/4/11,31,247.45,0.61,1.33,0.72,2.09,0.008,0.067,0.008
10/6/11,20,232.85,0.46,0.73,0.27,0.78,0.003,0.039,0.003
10/6/11,23,212.77,0.24,0.76,0.52,1.51,0.007,0.066,0.006
10/6/11,29,237.27,0.4,0.97,0.57,1.65,0.007,0.057,0.007
10/6/11,31,174.8,0.56,1.27,0.71,2.06,0.012,0.066,0.008